cancion,artista,genero,animo,energia
Cruel Summer,Taylor Swift,Pop,Triste,Baja
Anti-Hero,Taylor Swift,Pop,Triste,Alta
Lover,Taylor Swift,Pop,Feliz,Alta
Shake It Off,Taylor Swift,Pop,Relajado,Baja
Blank Space,Taylor Swift,Pop,Triste,Baja
Style,Taylor Swift,Pop,Triste,Media
Love Story,Taylor Swift,Pop,Enamorado,Alta
Flowers,Miley Cyrus,Pop,Triste,Baja
Wrecking Ball,Miley Cyrus,Pop,Enamorado,Media
Party in the U.S.A.,Miley Cyrus,Pop,Enamorado,Media
Espresso,Sabrina Carpenter,Pop,Enamorado,Baja
Please Please Please,Sabrina Carpenter,Pop,Feliz,Alta
Taste,Sabrina Carpenter,Pop,Enamorado,Media
"Good Luck, Babe!",Chappell Roan,Pop,Enamorado,Media
Pink Pony Club,Chappell Roan,Pop,Enamorado,Alta
Birds of a Feather,Billie Eilish,Pop,Triste,Baja
Bad Guy,Billie Eilish,Pop,Motivado,Media
Ocean Eyes,Billie Eilish,Pop,Motivado,Alta
Happier Than Ever,Billie Eilish,Pop,Relajado,Media
Perfect,Ed Sheeran,Pop,Motivado,Alta
Shape of You,Ed Sheeran,Pop,Relajado,Alta
Photograph,Ed Sheeran,Pop,Feliz,Media
Thinking Out Loud,Ed Sheeran,Pop,Feliz,Media
Castle on the Hill,Ed Sheeran,Pop,Triste,Baja
Watermelon Sugar,Harry Styles,Pop,Relajado,Alta
As It Was,Harry Styles,Pop,Motivado,Baja
Adore You,Harry Styles,Pop,Feliz,Media
Sign of the Times,Harry Styles,Pop,Relajado,Baja
Peaches,Justin Bieber,Pop,Enamorado,Baja
Sorry,Justin Bieber,Pop,Relajado,Media
Love Yourself,Justin Bieber,Pop,Feliz,Baja
Stay,Justin Bieber,Pop,Motivado,Alta
Ghost,Justin Bieber,Pop,Enamorado,Media
Levitating,Dua Lipa,Pop,Enamorado,Media
Don't Start Now,Dua Lipa,Pop,Motivado,Media
New Rules,Dua Lipa,Pop,Relajado,Media
One Kiss,Dua Lipa,Pop,Relajado,Alta
Physical,Dua Lipa,Pop,Feliz,Alta
Houdini,Dua Lipa,Pop,Feliz,Media
Blinding Lights,The Weeknd,Pop,Enamorado,Alta
Save Your Tears,The Weeknd,Pop,Triste,Media
Starboy,The Weeknd,Pop,Feliz,Alta
Can't Feel My Face,The Weeknd,Pop,Triste,Alta
Die For You,The Weeknd,Pop,Feliz,Media
Uptown Funk,Bruno Mars,Pop,Relajado,Alta
24K Magic,Bruno Mars,Pop,Enamorado,Media
Just The Way You Are,Bruno Mars,Pop,Triste,Baja
That's What I Like,Bruno Mars,Pop,Relajado,Baja
Die With A Smile,Bruno Mars y Lady Gaga,Pop,Feliz,Alta
Shallow,Lady Gaga,Pop,Motivado,Baja
Poker Face,Lady Gaga,Pop,Triste,Media
Bad Romance,Lady Gaga,Pop,Motivado,Alta
Rain On Me,Lady Gaga y Ariana Grande,Pop,Triste,Media
7 Rings,Ariana Grande,Pop,Enamorado,Alta
"Thank U, Next",Ariana Grande,Pop,Motivado,Baja
Positions,Ariana Grande,Pop,Motivado,Baja
Into You,Ariana Grande,Pop,Relajado,Baja
God Is A Woman,Ariana Grande,Pop,Triste,Media
Roar,Katy Perry,Pop,Triste,Media
